Accord;Notes;Description
EMaj13;E - G# - B - D# - F# -  C#;E mineur, est compose d'une tierce mineure et d'une quinte juste
Eadd;E - G# - B - F#;E add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
E7-5;E - G# - Bb - D;E septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
E7+5;E - G# - C - D;E septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Esus;E - A - B;E suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Edim;E - G - Bb;E diminue, est compose d'une tierce mineure et d'une quinte diminuee
Edim7;E - G - Bb - Db;E diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Em7b5;E - G -  Bb - D;E mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Eaug;E - G# - C;E augmente, est compose d'une tierce majeure et d'une quinte augmentee
Eaug7;E - G# - C - D;E augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
F;F - A - C;F majeur, est compose d'une tierce majeure et d'une quinte juste
Fm;F - Ab - C;F mineur, est compose d'une tierce mineure et d'une quinte juste
F7;F - A - C - Eb;F 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Fm7;F - Ab - C - Eb;F mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
FMaj7;F - A - C - E;F mineur, est compose d'une tierce mineure et d'une quinte juste
FmM7;F - Ab - C - E;F mineur, est compose d'une tierce mineure et d'une quinte juste
F6;F - A - C - D;F sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Fm6;F - Ab - C - D;F mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
F6/9;F - A - C - D - G;F sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
F5;F -  C;F quinte juste, est compose uniquement de la fondamentale et de la quinte juste
F9;F - A - C - Eb - G;F majeur, est compose d'une tierce majeure et d'une quinte juste
Fm9;F - Ab - C - Eb - G;F mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
FMaj9;F - A - C - E - G;F mineur, est compose d'une tierce mineure et d'une quinte juste
F11;F - A - C - Eb - G - Bb;F majeur, est compose d'une tierce majeure et d'une quinte juste
Fm11;F - Ab - C - Eb - G - Bb;F mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
FMaj11;F - A - C - E - G -  Bb;F mineur, est compose d'une tierce mineure et d'une quinte juste
F13;F - A - C - Eb - G - Bb - D;F majeur, est compose d'une tierce majeure et d'une quinte juste
Fm13;F - Ab - C - Eb - G - Bb - D;F mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
FMaj13;F - A - C - E - G -  D;F mineur, est compose d'une tierce mineure et d'une quinte juste
Fadd;F - A - C - G;F add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
F7-5;F - A - B - Eb;F septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
F7+5;F - A - C# - Eb;F septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Fsus;F - Bb - C;F suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Fdim;F - Ab - B;F diminue, est compose d'une tierce mineure et d'une quinte diminuee
Fdim7;F - Ab -  B - D;F diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Fm7b5;F - Ab -  B - Eb;F mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Faug;F - A - C#;F augmente, est compose d'une tierce majeure et d'une quinte augmentee
Faug7;F - A - C# - Eb;F augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
F#;F# - A# - C#;F# majeur, est compose d'une tierce majeure et d'une quinte juste
F#m;F# - A - C#;F# mineur, est compose d'une tierce mineure et d'une quinte juste
F#7;F# - A# - C# - E;F# 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
F#m7;F# - A - C# - E;F# mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
F#Maj7;"F# - A# - C# - F ; F# - A# - C# - E#";F# mineur, est compose d'une tierce mineure et d'une quinte juste
F#mM7;"F# - A - C# - F ; F# - A - C# - E#";F# mineur, est compose d'une tierce mineure et d'une quinte juste
F#6;F# - A# - C# - D#;F# sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
F#m6;F# - A - C# - D#;F# mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
F#6/9;F# - A# - C# - D# - G#;F# sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
F#5;F# -  C#;F# quinte juste, est compose uniquement de la fondamentale et de la quinte juste
F#9;F# - A# - C# - E - G#;F# majeur, est compose d'une tierce majeure et d'une quinte juste
F#m9;F# - A - C# - E - G#;F# mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
F#Maj9;F# - A# - C# - F - G#;F# mineur, est compose d'une tierce mineure et d'une quinte juste
F#11;F# - A# - C# - E - G# - B;F# majeur, est compose d'une tierce majeure et d'une quinte juste
F#m11;F# - A - C# - E - G# - B;F# mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
F#Maj11;"F# - A# - C# - F - G# - B ; F# - A# - C# - E# - G# - B";F# mineur, est compose d'une tierce mineure et d'une quinte juste
F#13;F# - A# - C# - E - G# - B - D#;F# majeur, est compose d'une tierce majeure et d'une quinte juste
F#m13;F# - A - C# - E - G# - B - D#;F# mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
